Time,DIN1,DIN2,DIN3,DIN4,DIN5,DIN6,DIN7,DIN8,DOUT0,DOUT1,DOUT2,DOUT3, DOUT4, DOUT5, DOUT6, DOUT7, AIN0, AIN1,AIN2,AIN3,AOUT0, INPOS0, TARPOS0, CURPOS0, CURVEL0
4343102,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.190183,0.201465,0.174872,0.000000,1,0.00,0.00,360.00,697.75
4343213,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.198242,0.178901,0.000000,1,0.00,0.00,360.00,697.75
4343304,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.189377,0.199048,0.177289,0.000000,1,0.00,0.00,360.00,697.75
4343415,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.191795,0.219194,0.179707,0.000000,1,0.00,0.00,360.00,697.75
4343516,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190183,0.188571,0.193407,0.000000,1,0.00,0.00,360.00,697.75
4343607,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190183,0.193407,0.175678,0.000000,1,0.00,0.00,360.00,697.75
4343708,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190183,0.198242,0.177289,0.000000,1,0.00,0.00,360.00,697.75
4343819,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190989,0.198242,0.178901,0.000000,1,0.00,0.00,360.00,697.75
4343910,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190183,0.219194,0.177289,0.000000,1,0.00,0.00,360.00,697.75
4344011,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.258681,0.186154,0.000000,1,0.00,0.00,360.00,697.75
4344112,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190989,0.206300,0.177289,0.000000,1,0.00,0.00,360.00,697.75
4344213,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.198242,0.178095,0.000000,1,0.00,0.00,360.00,697.76
4344314,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190989,0.204689,0.180513,0.000000,1,0.00,0.00,360.00,697.76
4344415,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.191795,0.217582,0.178901,0.000000,1,0.00,0.00,360.00,697.76
