Time,DIN1,DIN2,DIN3,DIN4,DIN5,DIN6,DIN7,DIN8,DOUT0,DOUT1,DOUT2,DOUT3, DOUT4, DOUT5, DOUT6, DOUT7, AIN0, AIN1,AIN2,AIN3,AOUT0, INPOS0, TARPOS0, CURPOS0, CURVEL0
3275153,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190989,0.206300,0.177289,0.000000,1,0.00,0.00,360.00,778.90
3275264,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190183,0.193407,0.175678,0.000000,1,0.00,0.00,360.00,778.92
3275355,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.191795,0.225641,0.180513,0.000000,1,0.00,0.00,360.00,778.94
3275456,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190989,0.180513,0.190183,0.000000,1,0.00,0.00,360.00,778.96
3275567,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190183,0.198242,0.177289,0.000000,1,0.00,0.00,360.00,778.99
3275658,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.198242,0.178095,0.000000,1,0.00,0.00,360.00,779.01
3275759,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190989,0.204689,0.178095,0.000000,1,0.00,0.00,360.00,779.03
3275850,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190989,0.211941,0.178095,0.000000,1,0.00,0.00,360.00,779.05
3275951,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.191795,0.265934,0.184542,0.000000,1,0.00,0.00,360.00,779.07
3276062,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190183,0.191795,0.174872,0.000000,1,0.00,0.00,360.00,779.09
3276153,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190989,0.203883,0.178095,0.000000,1,0.00,0.00,360.00,779.11
3276254,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.198242,0.176484,0.000000,1,0.00,0.00,360.00,779.13
3276345,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190989,0.220000,0.177289,0.000000,1,0.00,0.00,360.00,779.15
3276466,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190183,0.175678,0.188571,0.000000,1,0.00,0.00,360.00,779.16
3276557,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190989,0.204689,0.178901,0.000000,1,0.00,0.00,360.00,779.18
3276658,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.191795,0.198242,0.176484,0.000000,1,0.00,0.00,360.00,779.20
3276749,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.191795,0.199853,0.177289,0.000000,1,0.00,0.00,360.00,779.22
3276860,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190989,0.217582,0.180513,0.000000,1,0.00,0.00,360.00,779.24
3276961,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178095,0.190989,0.261099,0.182930,0.000000,1,0.00,0.00,360.00,779.26
3277062,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190989,0.195018,0.178901,0.000000,0,450.00,3.60,360.00,779.27
3277144,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.191795,0.199853,0.176484,0.000000,0,450.00,33.30,360.00,779.29
3277256,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.180513,0.191795,0.000000,0,450.00,73.35,360.00,779.31
3277358,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.191795,0.203077,0.177289,0.000000,0,450.00,110.25,360.00,779.33
3277450,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.191795,0.211136,0.177289,0.000000,0,450.00,143.10,360.00,779.34
3277562,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190989,0.197436,0.175678,0.000000,0,450.00,183.60,360.00,779.36
3277664,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190989,0.193407,0.174872,0.000000,0,450.00,220.50,360.00,779.38
3277756,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190989,0.187766,0.190989,0.000000,0,450.00,253.35,360.00,779.40
3277848,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190989,0.191795,0.175678,0.000000,0,450.00,286.65,360.00,779.41
3277960,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190989,0.224029,0.181319,0.000000,0,450.00,326.70,360.00,779.43
3278062,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.190989,0.191795,0.174066,0.000000,0,450.00,363.60,360.00,779.45
3278154,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.191795,0.204689,0.177289,0.000000,0,450.00,396.90,360.00,779.46
3278246,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.190989,0.175678,0.188571,0.000000,0,450.00,429.75,360.00,779.48
3278348,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190989,0.199853,0.175678,0.000000,1,450.00,450.00,360.00,779.49
3278460,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190183,0.217582,0.179707,0.000000,1,450.00,450.00,360.00,779.51
3278552,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.190989,0.206300,0.177289,0.000000,1,450.00,450.00,360.00,779.53
3278654,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190989,0.198242,0.177289,0.000000,1,450.00,450.00,360.00,779.55
3278746,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.191795,0.183736,0.190183,0.000000,1,450.00,450.00,360.00,779.57
3278858,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.191795,0.196630,0.177289,0.000000,1,450.00,450.00,360.00,779.58
3278950,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190989,0.219194,0.178901,0.000000,1,450.00,450.00,360.00,779.60
3279052,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190989,0.198242,0.178095,0.000000,1,450.00,450.00,360.00,779.62
