Time,DIN1,DIN2,DIN3,DIN4,DIN5,DIN6,DIN7,DIN8,DOUT0,DOUT1,DOUT2,DOUT3, DOUT4, DOUT5, DOUT6, DOUT7, AIN0, AIN1,AIN2,AIN3,AOUT0, INPOS0, TARPOS0, CURPOS0, CURVEL0
3509307,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.191795,0.177289,0.000000,1,0.00,0.00,360.00,770.54
3509408,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.199048,0.178095,0.000000,1,0.00,0.00,360.00,770.58
3509509,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.192601,0.177289,0.000000,1,0.00,0.00,360.00,770.62
3509600,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.190989,0.224029,0.180513,0.000000,1,0.00,0.00,360.00,770.67
3509711,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.258681,0.186960,0.000000,1,0.00,0.00,360.00,770.71
3509812,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.190989,0.203077,0.177289,0.000000,1,0.00,0.00,360.00,770.75
3509903,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.193407,0.175678,0.000000,1,0.00,0.00,360.00,770.78
3510004,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.192601,0.199853,0.177289,0.000000,1,0.00,0.00,360.00,770.82
3510115,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.190989,0.217582,0.179707,0.000000,1,0.00,0.00,360.00,770.85
3510206,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.183736,0.191795,0.000000,1,0.00,0.00,360.00,770.88
3510307,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.192601,0.193407,0.176484,0.000000,1,0.00,0.00,360.00,770.91
3510398,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.190989,0.203883,0.177289,0.000000,1,0.00,0.00,360.00,770.94
3510509,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.192601,0.194212,0.177289,0.000000,1,0.00,0.00,360.00,770.97
3510610,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.220000,0.180513,0.000000,1,0.00,0.00,360.00,771.00
3510701,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.193407,0.254652,0.183736,0.000000,1,0.00,0.00,360.00,771.02
3510802,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.199853,0.175678,0.000000,1,0.00,0.00,360.00,771.05
3510913,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190989,0.198242,0.177289,0.000000,1,0.00,0.00,360.00,771.07
3511004,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.199853,0.178095,0.000000,1,0.00,0.00,360.00,771.10
3511105,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.213553,0.178095,0.000000,1,0.00,0.00,360.00,771.15
3511206,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.183736,0.191795,0.000000,1,0.00,0.00,360.00,771.21
3511317,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.191795,0.197436,0.177289,0.000000,0,450.00,28.80,360.00,771.26
3511409,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.191795,0.199853,0.178095,0.000000,0,450.00,62.10,360.00,771.30
3511501,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.193407,0.254652,0.184542,0.000000,0,450.00,94.95,360.00,771.35
3511604,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.199853,0.178095,0.000000,0,450.00,132.30,360.00,771.39
3511716,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.191795,0.180513,0.190183,0.000000,0,450.00,172.35,360.00,771.43
3511808,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.199853,0.178095,0.000000,0,450.00,205.65,360.00,771.47
3511900,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.190989,0.216777,0.178901,0.000000,0,450.00,238.50,360.00,771.51
3512002,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.199853,0.178095,0.000000,0,450.00,275.40,360.00,771.54
3512114,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190989,0.198242,0.176484,0.000000,0,450.00,315.90,360.00,771.58
