Time,DIN1,DIN2,DIN3,DIN4,DIN5,DIN6,DIN7,DIN8,DOUT0,DOUT1,DOUT2,DOUT3, DOUT4, DOUT5, DOUT6, DOUT7, AIN0, AIN1,AIN2,AIN3,AOUT0, INPOS0, TARPOS0, CURPOS0, CURVEL0
3131300,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190183,0.212747,0.174872,0.000000,1,0.00,0.00,360.00,590.12
3131411,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.193407,0.264322,0.186960,0.000000,1,0.00,0.00,360.00,590.13
3131512,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.197436,0.178095,0.000000,1,0.00,0.00,360.00,590.15
3131613,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.204689,0.178095,0.000000,1,0.00,0.00,360.00,590.17
3131704,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.190183,0.191795,0.174872,0.000000,1,0.00,0.00,360.00,590.19
3131815,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.191795,0.224835,0.180513,0.000000,1,0.00,0.00,360.00,590.21
3131916,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.180513,0.191795,0.000000,1,0.00,0.00,360.00,590.22
3132007,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190183,0.199853,0.177289,0.000000,1,0.00,0.00,360.00,590.24
3132108,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190183,0.193407,0.174872,0.000000,1,0.00,0.00,360.00,590.25
3132219,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.203883,0.179707,0.000000,1,0.00,0.00,360.00,590.27
3132310,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190183,0.211941,0.177289,0.000000,1,0.00,0.00,360.00,590.28
3132411,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.192601,0.265934,0.185348,0.000000,1,0.00,0.00,360.00,590.30
3132502,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190183,0.193407,0.175678,0.000000,1,0.00,0.00,360.00,590.31
3132613,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.191795,0.203077,0.178901,0.000000,1,0.00,0.00,360.00,590.56
3132714,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.191795,0.198242,0.177289,0.000000,1,0.00,0.00,360.00,590.60
3132805,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190183,0.219194,0.177289,0.000000,1,0.00,0.00,360.00,590.60
3132906,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.190183,0.176484,0.188571,0.000000,1,0.00,0.00,360.00,590.61
3133017,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190989,0.204689,0.178901,0.000000,1,0.00,0.00,360.00,590.61
