Time,DIN1,DIN2,DIN3,DIN4,DIN5,DIN6,DIN7,DIN8,DOUT0,DOUT1,DOUT2,DOUT3, DOUT4, DOUT5, DOUT6, DOUT7, AIN0, AIN1,AIN2,AIN3,AOUT0, INPOS0, TARPOS0, CURPOS0, CURVEL0, SCALE
10970894,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.188571,0.182125,0.199853,0.000000,1,0.00,0.00,90.00,0
10970925,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.188571,0.159560,0.199048,0.000000,1,0.00,0.00,90.00,0
10970956,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.189377,0.198242,0.178095,0.000000,1,0.00,0.00,90.00,0
10970987,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.177289,0.186960,0.170843,0.195018,0.000000,1,0.00,0.00,90.00,0
10971018,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.187766,0.177289,0.199048,0.000000,1,0.00,0.00,90.00,0
10971049,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.191795,0.176484,0.183736,0.000000,1,0.00,0.00,90.00,0
10971080,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.190183,0.162784,0.199853,0.000000,1,0.00,0.00,90.00,0
10971111,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.188571,0.178901,0.197436,0.000000,1,0.00,0.00,90.00,0
10971142,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.189377,0.174066,0.199853,0.000000,1,0.00,0.00,90.00,0
10971173,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.190183,0.178901,0.184542,0.000000,1,0.00,0.00,90.00,0
10971204,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.187766,0.170843,0.182125,0.000000,1,0.00,0.00,90.00,0
10971235,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.187766,0.157949,0.199853,0.000000,1,0.00,0.00,90.00,0
10971266,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.187766,0.212747,0.178901,0.000000,1,0.00,0.00,90.00,0
10971297,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190183,0.177289,0.199048,0.000000,1,0.00,0.00,90.00,0
10971328,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.177289,0.188571,0.174066,0.197436,0.000000,1,0.00,0.00,90.00,0
10971359,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.187766,0.178901,0.182930,0.000000,1,0.00,0.00,90.00,0
10971390,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178095,0.186960,0.154725,0.196630,0.000000,1,0.00,0.00,90.00,0
10971421,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.188571,0.173260,0.182930,0.000000,1,0.00,0.00,90.00,0
10971452,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.186960,0.175678,0.195824,0.000000,1,0.00,0.00,90.00,0
10971483,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.186960,0.174066,0.180513,0.000000,1,0.00,0.00,90.00,0
10971514,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.188571,0.176484,0.184542,0.000000,1,0.00,0.00,90.00,0
10971545,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.188571,0.154725,0.199048,0.000000,1,0.00,0.00,90.00,0
10971576,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.189377,0.201465,0.179707,0.000000,1,0.00,0.00,90.00,0
10971607,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178095,0.186960,0.167619,0.196630,0.000000,1,0.00,0.00,90.00,0
10971638,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.177289,0.186960,0.176484,0.196630,0.000000,1,0.00,0.00,90.00,0
10971669,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.188571,0.175678,0.186154,0.000000,1,0.00,0.00,90.00,0
10971700,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.192601,0.161172,0.200659,0.000000,1,0.00,0.00,90.00,0
10971731,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.187766,0.173260,0.182930,0.000000,1,0.00,0.00,90.00,0
10971762,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178095,0.188571,0.169231,0.196630,0.000000,1,0.00,0.00,90.00,0
10971793,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.181319,0.190183,0.179707,0.186154,0.000000,1,0.00,0.00,90.00,0
10971824,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190183,0.171648,0.183736,0.000000,1,0.00,0.00,90.00,0
10971855,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178095,0.188571,0.159560,0.196630,0.000000,1,0.00,0.00,90.00,0
10971886,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.187766,0.192601,0.178095,0.000000,1,0.00,0.00,90.00,0
10971917,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190183,0.175678,0.197436,0.000000,1,0.00,0.00,90.00,0
10971948,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.188571,0.172454,0.198242,0.000000,1,0.00,0.00,90.00,0
