Time,DIN1,DIN2,DIN3,DIN4,DIN5,DIN6,DIN7,DIN8,DOUT0,DOUT1,DOUT2,DOUT3, DOUT4, DOUT5, DOUT6, DOUT7, AIN0, AIN1,AIN2,AIN3,AOUT0, INPOS0, TARPOS0, CURPOS0, CURVEL0, SCALE
14103760,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178095,0.190989,0.164396,0.197436,0.000000,1,899.82,899.82,90.00,991.81
14103852,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.189377,0.174872,0.182125,0.000000,1,899.82,899.82,90.00,991.81
14103954,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.187766,0.178095,0.186154,0.000000,1,899.82,899.82,90.00,991.81
14104046,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190183,0.192601,0.177289,0.000000,1,899.82,899.82,90.00,991.81
14104158,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.187766,0.184542,0.196630,0.000000,1,899.82,899.82,90.00,991.81
14104260,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190989,0.162784,0.197436,0.000000,1,899.82,899.82,90.00,991.81
14104352,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.189377,0.182125,0.197436,0.000000,1,899.82,899.82,90.00,991.81
14104444,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190989,0.173260,0.183736,0.000000,1,899.82,899.82,90.00,991.81
14104556,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.189377,0.200659,0.178901,0.000000,1,899.82,899.82,90.00,991.81
14104658,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.188571,0.178901,0.195824,0.000000,1,899.82,899.82,90.00,991.81
14104750,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190183,0.161172,0.196630,0.000000,1,899.82,899.82,90.00,991.81
14104852,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.188571,0.174872,0.182930,0.000000,1,899.82,899.82,90.00,991.81
14104964,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190183,0.177289,0.184542,0.000000,1,899.82,899.82,90.00,991.81
14105056,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178095,0.189377,0.199853,0.175678,0.000000,1,899.82,899.82,90.00,991.81
14105148,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.188571,0.177289,0.196630,0.000000,1,899.82,899.82,90.00,991.81
14105250,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.187766,0.194212,0.193407,0.000000,1,899.82,899.82,90.00,991.81
14105362,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190183,0.177289,0.199048,0.000000,1,899.82,899.82,90.00,991.81
14105454,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.177289,0.188571,0.175678,0.183736,0.000000,0,0.00,898.92,90.00,991.81
14105556,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.189377,0.199048,0.177289,0.000000,0,0.00,889.74,90.00,991.81
14105648,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190183,0.180513,0.200659,0.000000,0,0.00,881.46,90.00,991.81
14105760,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.187766,0.162784,0.196630,0.000000,0,0.00,871.38,90.00,991.81
14105852,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.185348,0.182125,0.194212,0.000000,0,0.00,863.10,90.00,991.81
14105954,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178095,0.186960,0.178901,0.195018,0.000000,0,0.00,853.92,90.00,991.81
14106046,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.181319,0.190989,0.200659,0.182125,0.000000,0,0.00,845.64,90.00,991.81
14106158,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.187766,0.177289,0.183736,0.000000,0,0.00,835.56,90.00,991.81
14106250,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.182125,0.190989,0.162784,0.202271,0.000000,0,0.00,827.28,90.00,991.81
14106352,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.186960,0.174872,0.183736,0.000000,0,0.00,818.10,90.00,991.81
14106444,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190183,0.180513,0.200659,0.000000,0,0.00,809.82,90.00,991.81
14106556,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.186960,0.198242,0.177289,0.000000,0,0.00,799.74,90.00,991.81
14106658,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.179707,0.185348,0.182930,0.197436,0.000000,0,0.00,790.56,90.00,991.81
14106750,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.189377,0.199853,0.195824,0.000000,0,0.00,782.28,90.00,991.81
14106842,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190989,0.178095,0.188571,0.000000,0,0.00,774.00,90.00,991.81
14106954,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.176484,0.186960,0.180513,0.193407,0.000000,0,0.00,763.92,90.00,991.81
14107056,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.186960,0.202271,0.176484,0.000000,0,0.00,754.74,90.00,991.81
14107148,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.190183,0.174066,0.196630,0.000000,0,0.00,746.46,90.00,991.81
14107240,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.188571,0.164396,0.199853,0.000000,0,0.00,738.18,90.00,991.81
14107352,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178095,0.186154,0.180513,0.191795,0.000000,0,0.00,728.10,90.00,991.81
14107454,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178095,0.188571,0.177289,0.186960,0.000000,0,0.00,718.92,90.00,991.81
14107546,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178095,0.190183,0.193407,0.180513,0.000000,0,0.00,710.64,90.00,991.81
14107648,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.180513,0.190989,0.180513,0.199853,0.000000,0,0.00,701.46,90.00,991.81
14107760,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178095,0.186960,0.206300,0.194212,0.000000,0,0.00,691.38,90.00,991.81
14107852,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.178901,0.187766,0.178095,0.182930,0.000000,0,0.00,683.10,90.00,991.81
